"EIN","Organization Name","Address","City","State","Zip","Total Revenue - Current Year","Total Functional Expenses","Total Liabilities: End of Year","Total Assets: End of Year","Number of Employees Reported on Form W-3","Net Assets","National Taxonomy of Exempt Entities Short Description","Type of 990 Form Filed","Fiscal Year End","National Taxonomy of Exempt Entities Full Description","Point Source","Selected Location"
"20-1840295","Gloucester Township Boys Basketball League Inc","220 Hidden Dr","BLACKWOOD","NJ","8012","51087","44931","0","51146","0","51146","Recreation, Sports, Leisure, Athletics","f990","2019","Basketball","Candid","Camden (County, 2022)"
"20-2726446","Seeds of Hope Ministries Inc","1700 S Broadway","CAMDEN","NJ","8104","615940","495603","108958","938509","6","829551","Religion Related, Spiritual Development","f990","2021","Christian","Candid","Camden (County, 2022)"
"20-3182463","Workforce & Economic Revitalization for Communities Inc","514 Cooper St","CAMDEN","NJ","8102","61167","273510","16070","680179","6","664109","Community Improvement, Capacity Building","f990","2019","Economic Development","Candid","Camden (County, 2022)"
"20-3215100","Cherry Hill Huaxia Chinese School Inc","PO Box 1322","CHERRY HILL","NJ","8034","229430","245969","20958","215479","38","194521","Human Services - Multipurpose and Other","f990","2021","Ethnic/Immigrant Services","Candid","Camden (County, 2022)"
"20-3318151","Front Row Foundation Corp","17 Normans Ford Dr","SICKLERVILLE","NJ","8081","104138","134335","7842","92086","2","84244","Human Services - Multipurpose and Other","f990","2021","Gift Distribution","Candid","Camden (County, 2022)"
"20-3429223","Friends of the Indian King Tavern Museum Inc","30 Tanner St","HADDONFIELD","NJ","8033","38667","26051","","12616","0","","Arts, Culture, and Humanities","f990","2019","Single Organization Support","Candid","Camden (County, 2022)"
"20-3594499","South Camden Theatre Company Inc","400 Jasper St","CAMDEN","NJ","8104","72609","61503","15799","600436","0","584637","Arts, Culture, and Humanities","f990","2021","Theater","Candid","Camden (County, 2022)"
"20-4133180","Project H O P E Inc","519 West St # 525","CAMDEN","NJ","8103","7580731","7208806","117791","6229802","92","6112011","Health","f990","2021","Ambulatory Health Center, Community Clinic","Candid","Camden (County, 2022)"
"20-4869278","The Joseph Fund Inc","408 SWEDESBORO ROAD B","MULLICA HILL","NJ","8062","531974","323090","12397","791656","2","779259","Human Services - Multipurpose and Other","f990","2021","Fund Raising and/or Fund Distribution","Candid","Camden (County, 2022)"
"20-4955981","Temple Emanuel Starlight Foundation Inc","1101 Springdale Rd","CHERRY HILL","NJ","8003","23609","75117","0","1116939","0","1116939","Religion Related, Spiritual Development","f990","2022","Jewish","Candid","Camden (County, 2022)"
"20-5065314","Go4Thegoal Foundation","401 Kings Hwy S Ste 3e","CHERRY HILL","NJ","8034","590000","499919","0","652413","0","652413","Diseases, Disorders, Medical Disciplines","f990","2021","Fund Raising and/or Fund Distribution","Candid","Camden (County, 2022)"
"20-5218328","Almost Home Animal Shelter Andadoption Center Inc","333 Virginia Ave","COLLINGSWOOD","NJ","8108","90889","89810","13498","3741","0","-9757","Animal-Related","f990","2021","Animal Protection and Welfare (includes Humane Societies and SPCAs)","Candid","Camden (County, 2022)"
"20-5988425","Hope Community Outreach Servicesinc","6 Hudson Ct","SOMERDALE","NJ","8083","99126","100268","0","256560","0","256560","Human Services - Multipurpose and Other","f990","2021","Human Service Organizations","Candid","Camden (County, 2022)"
"20-8204924","Blackwood Fire Company","14 W Central Ave","BLACKWOOD","NJ","8012","121317","120218","536939","813090","0","276151","Public Safety","f990","2021","Fire Prevention / Protection / Control","Candid","Camden (County, 2022)"
"20-8207958","Winslow Township Youth Soccerassociation Inc","PO Box 169","SICKLERVILLE","NJ","8081","0","0","0","0","0","0","Recreation, Sports, Leisure, Athletics","f990","2021","Soccer Clubs/Leagues","Candid","Camden (County, 2022)"
"20-8683757","Stratford Classical Christianacademy Inc","710 W Laurel Rd","STRATFORD","NJ","8084","972732","860229","0","0","0","0","Education","f990","2021","Elementary, Secondary Ed","Candid","Camden (County, 2022)"
"21-0634462","Cooper Health System A New Jersey Non-Profit Corporation","1 Federal St # Nw2-400","CAMDEN","NJ","8103","1850681665","1645377496","934415442","1972998916","10655","1038583474","Health","f990","2021","Community Health Systems","Candid","Camden (County, 2022)"
"21-0634489","Jewish Federation of Southern New Jersey","1301 Springdale Rd","CHERRY HILL","NJ","8003","34407041","28498765","7284574","14483515","1004","7198941","Philanthropy, Voluntarism, and Grantmaking Foundations","f990","2021","Fund Raising Organizations That Cross Categories includes Community Funds/Trusts and Federated Giving Programs) e.g. United Way","Candid","Camden (County, 2022)"
"21-0634535","St Marys Nursing Home","1845 Haddon Ave","CAMDEN","NJ","8103","2543","77078","18406490","12823144","0","-5583346","Health","f990","2021","Nursing, Convalescent (Geriatric and Nursing)","Candid","Camden (County, 2022)"
"21-0634537","Neighborhood Center Inc","278 Kaighn Ave","CAMDEN","NJ","8103","926636","971416","215230","390457","32","175227","Human Services - Multipurpose and Other","f990","2021","Neighborhood Center, Settlement House","Candid","Camden (County, 2022)"
"21-0634582","Holy Redeemer Home Care Inc","PO Box 250","RUNNEMEDE","NJ","8078","14480361","13357067","318856756","316355902","168","-2500854","Health","f990","2021","Home Health Care (includes Visiting Nurse Associations)","Candid","Camden (County, 2022)"
"21-0639858","Camden Day Nursery Assn","327 Stevens St","CAMDEN","NJ","8103","808921","758849","66534","548839","17","482305","Human Services - Multipurpose and Other","f990","2021","Child Day Care","Candid","Camden (County, 2022)"
"21-0644450","Catholic Star Herald","15 N 7th St","CAMDEN","NJ","8102","1261448","1160025","1052543","352087","8","-700456","Religion Related, Spiritual Development","f990","2021","Religious Printing, Publishing","Candid","Camden (County, 2022)"
"21-0664283","Knight Park Trustees","PO Box 8731","COLLINGSWOOD","NJ","8108","68274","47722","0","1251714","0","1251714","Philanthropy, Voluntarism, and Grantmaking Foundations","f990","2021","Other Philanthropy, Voluntarism, and Grantmaking Foundations N.E.C.","Candid","Camden (County, 2022)"
"21-0672684","Coriell Institute for Medical Research Inc","403 Haddon Ave","CAMDEN","NJ","8103","17260020","18093332","6492510","28357307","103","21864797","Medical Research","f990","2021","Other Medical Research N.E.C.","Candid","Camden (County, 2022)"
"21-0672770","Bancroft A New Jersey Nonprofit Corporation","1255 Caldwell Rd","CHERRY HILL","NJ","8034","198836170","196972538","174514207","223401338","3697","48887131","Human Services - Multipurpose and Other","f990","2021","Management & Technical Assistance","Candid","Camden (County, 2022)"
"21-0685814","Westmont Fire Company No 1","120 N HADDON AVE","HADDONFIELD","NJ","8033","321916","260914","868561","1465098","0","596537","Public Safety","f990","2022","Fire Prevention / Protection / Control","Candid","Camden (County, 2022)"
"21-0715874","Arc of New Jersey Inc","215 W White Horse Pike","BERLIN","NJ","8009","239626","25107","0","1201604","0","1201604","Human Services - Multipurpose and Other","f990","2021","Developmentally Disabled Services/Centers","Candid","Camden (County, 2022)"
"21-0721376","Kings Christian School","5 Carnegie Plz","CHERRY HILL","NJ","8003","4086844","4015909","4116622","6929240","105","2812618","Education","f990","2022","Elementary, Secondary Ed","Candid","Camden (County, 2022)"
"21-0725790","C P A C","2500 McClellan Ave Ste 110","PENNSAUKEN","NJ","8109","3424189","3425184","1665464","1811290","17","145826","Community Improvement, Capacity Building","f990","2021","Community, Neighborhood Development, Improvement","Candid","Camden (County, 2022)"
"21-0738247","Childrens Fresh Air Home Inc","PO Box 413","HADDONFIELD","NJ","8033","86483","26946","723","905006","0","904283","Recreation, Sports, Leisure, Athletics","f990","2021","Recreational and Sporting Camps (Day, Overnight, etc.)","Candid","Camden (County, 2022)"
"21-6008076","Camden County Historical Society","PO Box 378","COLLINGSWOOD","NJ","8108","496579","532083","210137","4133757","3","3923620","Arts, Culture, and Humanities","f990","2021","Research Institutes and/or Public Policy Analysis","Candid","Camden (County, 2022)"
"21-6015195","Haddonfield Ambulance Association Incorporated","PO Box 345","HADDONFIELD","NJ","8033","349460","316255","0","1858224","0","1858224","Health","f990","2021","Ambulance/Emergency Transport","Candid","Camden (County, 2022)"
"21-6018634","Stratford Ambulance Association Inc","502 W Atlantic Ave","STRATFORD","NJ","8084","268577","356774","0","186346","0","186346","Health","f990","2021","Ambulance/Emergency Transport","Candid","Camden (County, 2022)"
"22-1501364","Visiting Nurse and Health Services","PO Box 250","RUNNEMEDE","NJ","8078","11896761","12074033","174986354","167204879","145","-7781475","Health","f990","2021","Home Health Care (includes Visiting Nurse Associations)","Candid","Camden (County, 2022)"
"22-1752792","Animal Welfare Association Incorporated","509 Centennial Blvd","VOORHEES","NJ","8043","4161846","3296677","5075984","14907921","66","9831937","Animal-Related","f990","2022","Animal Protection and Welfare (includes Humane Societies and SPCAs)","Candid","Camden (County, 2022)"
"22-1773439","Kennedy University Hospital Inc","500 Marlboro Ave","CHERRY HILL","NJ","8002","668598689","657075600","780112328","1241829856","4688","461717528","Health","f990","2021","Hospital (General)","Candid","Camden (County, 2022)"
"22-1807020","Our Ladys Residence","1845 Haddon Ave","CAMDEN","NJ","8103","0","7327","7011431","1118294","0","-5893137","Health","f990","2020","Nursing, Convalescent (Geriatric and Nursing)","Candid","Camden (County, 2022)"
"22-1837642","Camden County Council On Economic Opportunity","538 Broadway","CAMDEN","NJ","8103","8062852","8024610","1421318","8213543","56","6792225","Human Services - Multipurpose and Other","f990","2022","Human Service Organizations","Candid","Camden (County, 2022)"
"22-1843254","South Jersey Legal Services Inc","745 Market St","CAMDEN","NJ","8102","14465644","14343795","4266581","7105823","136","2839242","Crime, Legal Related","f990","2021","Legal Services","Candid","Camden (County, 2022)"
"22-1912812","Multiple Sclerosis Association of America Inc","375 Kings Hwy N","CHERRY HILL","NJ","8034","8817551","8250116","1461531","7956030","27","6494499","Diseases, Disorders, Medical Disciplines","f990","2022","Nerve, Muscle and Bone Diseases","Candid","Camden (County, 2022)"
"22-1928958","Girl Scouts of Central and Southern New Jersey Inc","40 Brace Rd","CHERRY HILL","NJ","8034","10167332","8405408","1176316","17575239","173","16398923","Youth Development","f990","2022","Girl Scouts","Candid","Camden (County, 2022)"
"22-1942376","MI Casita Day Care Center Inc","551 Spruce St","CAMDEN","NJ","8103","2796055","2656722","163522","2407007","41","2243485","Human Services - Multipurpose and Other","f990","2021","Child Day Care","Candid","Camden (County, 2022)"
"22-1978787","Larc School Inc","1089 Creek Rd","BELLMAWR","NJ","8031","8756642","8219376","2384044","13930266","162","11546222","Education","f990","2022","Specialized Education Institutions/Schools for Visually or Hearing Impaired, Learning Disabled","Candid","Camden (County, 2022)"
"22-1981621","El Centro Comunal Borincano Day Care","438 MARTIN LUTHER KING BLVD","CAMDEN","NJ","8105","2520729","2211531","1363955","3978207","56","2614252","Human Services - Multipurpose and Other","f990","2021","Child Day Care","Candid","Camden (County, 2022)"
"22-2010583","Victorian Towers Incorporated","1845 Haddon Ave","CAMDEN","NJ","8103","13477","915155","0","0","0","0","Housing, Shelter","f990","2019","Senior Citizens' Housing/Retirement Communities","Candid","Camden (County, 2022)"
"22-2051685","Bishop McCarthy Residence","1845 Haddon Ave","CAMDEN","NJ","8103","35","5276","1217958","13368057","0","12150099","Health","f990","2020","Nursing, Convalescent (Geriatric and Nursing)","Candid","Camden (County, 2022)"
"22-2068569","Respond Inc","536 State St","CAMDEN","NJ","8102","6806567","5320567","2781566","3581235","132","799669","Human Services - Multipurpose and Other","f990","2021","Human Service Organizations","Candid","Camden (County, 2022)"
"22-2072120","The Osborn Family Health Center Inc","1601 Haddon Ave","CAMDEN","NJ","8103","10056127","8324715","1605840","4558761","81","2952921","Health","f990","2021","Ambulatory Health Center, Community Clinic","Candid","Camden (County, 2022)"
"22-2111275","Fair Share Housing Center Inc","510 Park Blvd","CHERRY HILL","NJ","8002","2721443","1674734","170690","4110711","17","3940021","Housing, Shelter","f990","2021","Housing Search Assistance","Candid","Camden (County, 2022)"
"22-2126370","Hispanic Family Center Southern NJ Inc","3547 South 29th Street","CAMDEN","NJ","8105","3604528","3780274","542847","4604655","61","4061808","Human Services - Multipurpose and Other","f990","2021","Ethnic/Immigrant Services","Candid","Camden (County, 2022)"
"22-2158431","Puerto Rican Unity for Progress","818 Broadway","CAMDEN","NJ","8103","114836","231222","0","2068348","8","2068348","Arts, Culture, and Humanities","f990","2021","Cultural, Ethnic Awareness","Candid","Camden (County, 2022)"
"22-2169930","The Architects Housing Company I","215 EAST FRONT STREET","TRENTON","NJ","8611","1775344","1780712","5477994","5060033","12","-417961","Housing, Shelter","f990","2021","Senior Citizens' Housing/Retirement Communities","Candid","Camden (County, 2022)"
"22-2180639","Chews Volunteer Fire Company No 1","43 Somerdale Rd","BLACKWOOD","NJ","8012","95515","79389","120369","457605","2","337236","Public Safety","f990","2021","Fire Prevention / Protection / Control","Candid","Camden (County, 2022)"
"22-2192479","Arc of Camden County Inc","215 W White Horse Pike","BERLIN","NJ","8009","12027612","10873342","1057052","6941770","296","5884718","Human Services - Multipurpose and Other","f990","2021","Management & Technical Assistance","Candid","Camden (County, 2022)"
"22-2192491","India Temple Association","25 E Taunton Ave","BERLIN","NJ","8009","457791","380762","0","2696500","3","2696500","Religion Related, Spiritual Development","f990","2021","Religion Related, Spiritual Development N.E.C.","Candid","Camden (County, 2022)"
"22-2192716","Camcare Health Corp","817 Federal St","CAMDEN","NJ","8103","33376329","30387407","5924579","19067788","256","13143209","Health","f990","2021","Ambulatory Health Center, Community Clinic","Candid","Camden (County, 2022)"
"22-2199368","Raymond & Gertrude R Saltzman Foundation","1930 EAST MARLTON PIKE SUITE N-71","CHERRY HILL","NJ","8003","5961715","3026630","788796","110514769","3","109725973","Philanthropy, Voluntarism, and Grantmaking Foundations","f990","2021","Named Trusts/Foundations N.E.C.","Candid","Camden (County, 2022)"
"22-2208648","Jfh Management Company Inc","3051 Chapel Ave W","CHERRY HILL","NJ","8002","216762","268593","4884628","1996137","9","-2888491","Human Services - Multipurpose and Other","f990","2021","Homemaker, Home Health Aide","Candid","Camden (County, 2022)"
"22-2213715","The Cooper Foundation Inc","1 Federal St","CAMDEN","NJ","8103","12058012","5367628","8652795","84000357","0","75347562","Health","f990","2021","Single Organization Support","Candid","Camden (County, 2022)"
"22-2227027","Cordamore Inc","305 E Maple Ave","MERCHANTVILLE","NJ","8109","102685","76258","0","1697863","0","1697863","Human Services - Multipurpose and Other","f990","2022","Children's and Youth Services","Candid","Camden (County, 2022)"
"22-2228854","B A C Associates Inc","201 S White Horse Pike","AUDUBON","NJ","8106","544182","531800","3287","482483","8","479196","Religion Related, Spiritual Development","f990","2021","Management & Technical Assistance","Candid","Camden (County, 2022)"
"22-2234460","Brookfield Academy Inc","1009 BERLIN RD","CHERRY HILL","NJ","8034","7176100","7482731","4699258","7617906","120","2918648","Education","f990","2021","Specialized Education Institutions/Schools for Visually or Hearing Impaired, Learning Disabled","Candid","Camden (County, 2022)"
"22-2264514","Naudain Academy Inc","6 School Ln","VOORHEES","NJ","8043","1675532","1210007","0","724190","26","724190","Education","f990","2022","Fund Raising and/or Fund Distribution","Candid","Camden (County, 2022)"
"22-2266808","Barrington Ambulance Association in","201 2nd Ave","BARRINGTON","NJ","8007","457602","547850","0","193315","34","193315","Health","f990","2021","Ambulance/Emergency Transport","Candid","Camden (County, 2022)"
"22-2279292","Camden Center for Youth Development","315 Cooper St","CAMDEN","NJ","8102","1283740","1011103","40343","1169544","24","1129201","Crime, Legal Related","f990","2021","Delinquency Prevention","Candid","Camden (County, 2022)"
"22-2283036","St Vincent De Paul Society Trhift S Inc","157 W White Horse Pike","BERLIN","NJ","8009","104150","43922","726","230849","1","230123","Education","f990","2019","Specialized Education Institutions/Schools for Visually or Hearing Impaired, Learning Disabled","Candid","Camden (County, 2022)"
"22-2283793","Senior Citizens United Community Services of Camden County Inc","537 W Nicholson Rd","AUDUBON","NJ","8106","6535637","6142127","2489325","5026909","111","2537584","Human Services - Multipurpose and Other","f990","2021","Senior Centers/Services","Candid","Camden (County, 2022)"
"22-2295830","Parsippany Troy Hills Senior Citizens Housing Corporation","587 Haddon Ave","COLLINGSWOOD","NJ","8108","3337566","2511371","196359","21766065","8","21569706","Housing, Shelter","f990","2021","Senior Citizens' Housing/Retirement Communities","Candid","Camden (County, 2022)"
"22-2358827","Camden Area Health Education Center Inc","514 COOPER STREET","CAMDEN","NJ","8102","2063967","1971319","161563","1243032","28","1081469","Health","f990","2022","Public Health Program","Candid","Camden (County, 2022)"
"22-2369937","Bestwork Industries for the Blind Inc","1940 OLNEY AVE SUITE 200","CHERRY HILL","NJ","8003","5287061","4788099","3196297","14289715","122","11093418","Employment, Job Related","f990","2021","Vocational Rehabilitation (includes Job Training and Employment for Disabled and Elderly)","Candid","Camden (County, 2022)"
"22-2371223","Southern New Jersey Perinatal Cooperative","2500 McClellan Ave Ste 250","PENNSAUKEN","NJ","8109","14549045","14522156","2121500","6527102","230","4405602","Health","f990","2021","Reproductive Health Care Facilities and Allied Services","Candid","Camden (County, 2022)"
"22-2390872","Village Apartments of Cherry Hill NJ Inc","1845 Haddon Ave","CAMDEN","NJ","8103","1985506","2310553","6183633","3554647","0","-2628986","Housing, Shelter","f990","2022","Senior Citizens' Housing/Retirement Communities","Candid","Camden (County, 2022)"
"22-2397467","Guidance Center of Camden County Development Corp","2500 McClellan Ave Ste 300","PENNSAUKEN","NJ","8109","266947","203334","152052","1019071","0","867019","Human Services - Multipurpose and Other","f990","2021","Senior Continuing Care Communities","Candid","Camden (County, 2022)"
"22-2401037","Archway Programs Inc","280 Jackson Rd","ATCO","NJ","8004","22383680","22512513","11346130","16163187","545","4817057","Human Services - Multipurpose and Other","f990","2021","Human Service Organizations","Candid","Camden (County, 2022)"
"22-2415554","Destination Imagination Inc","1111 S Union Ave","CHERRY HILL","NJ","8002","1872089","3048166","1040576","1470808","19","430232","Education","f990","2021","Education N.E.C.","Candid","Camden (County, 2022)"
"22-2417594","Camden Lutheran Housing Corporation","800 Galindez Ct","CAMDEN","NJ","8102","1072584","1069394","710661","2000876","22","1290215","Housing, Shelter","f990","2021","Housing Development, Construction, Management","Candid","Camden (County, 2022)"
"22-2430393","Ronald McDonald House of Southern New Jersey Inc","550 Mickle Blvd","CAMDEN","NJ","8103","3068123","2108146","49427","19892850","7","19843423","Health","f990","2021","Health - General and Rehabilitative N.E.C.","Candid","Camden (County, 2022)"
"22-2443981","Stat Medical Transport Inc","701 Cooper Rd Ste 9","VOORHEES","NJ","8043","0","0","0","0","69","0","Health","f990","2021","Ambulance/Emergency Transport","Candid","Camden (County, 2022)"
"22-2464653","Multiple Sclerosis Housing Inc","587 Haddon Ave","COLLINGSWOOD","NJ","8108","724644","703538","1765664","2938789","0","1173125","Diseases, Disorders, Medical Disciplines","f990","2021","Nerve, Muscle and Bone Diseases","Candid","Camden (County, 2022)"
"22-2477866","Berlin Inter Community Ambulance","PO Box 406","BERLIN","NJ","8009","845809","838967","31963","592692","48","560729","Health","f990","2019","Ambulance/Emergency Transport","Candid","Camden (County, 2022)"
"22-2505430","Ballet N J Theatre Company of New Jersey Inc","401 Bloomfield Dr Ste 4","WEST BERLIN","NJ","8091","102633","76790","0","31242","0","31242","Arts, Culture, and Humanities","f990","2022","Ballet","Candid","Camden (County, 2022)"
"22-2508550","Gloucester Catholic Alumni Assoc- Iation Inc","333 Ridgeway St","GLOUCESTER CITY","NJ","8030","0","0","0","0","0","0","Education","f990","2021","Alumni Associations","Candid","Camden (County, 2022)"
"22-2511604","Brooklawn Fire Company","100 S Wilson Ave","BROOKLAWN","NJ","8030","35133","22678","0","94830","","94830","","f990","2019","","Candid","Camden (County, 2022)"
"22-2520859","New Jersey Council for the Humanities Inc","PO BOX 3287","CAMDEN","NJ","8101","2357693","2017831","175797","2675580","5","2499783","Arts, Culture, and Humanities","f990","2021","Humanities Organizations","Candid","Camden (County, 2022)"
"22-2531766","Haddonfield Foundation","PO Box 555","HADDONFIELD","NJ","8033","52368","46105","588270","979252","0","390982","Philanthropy, Voluntarism, and Grantmaking Foundations","f990","2021","Private Grantmaking Foundations","Candid","Camden (County, 2022)"
"22-2560556","South Jersey Behavioral Health Resources Incorporated","2500 McClellan Ave Ste 300","PENNSAUKEN","NJ","8109","15802420","13571753","7872940","12389764","0","4516824","Mental Health, Crisis Intervention","f990","2021","Mental Health Treatment","Candid","Camden (County, 2022)"
"22-2589999","Heart of Camden Inc","1840 S Broadway","CAMDEN","NJ","8104","852879","649445","263083","557526","10","294443","Housing, Shelter","f990","2021","Housing Development, Construction, Management","Candid","Camden (County, 2022)"
"22-2610183","Haddonfield School District Scholarship and Education Fund Inc","PO BOX 178","HADDONFIELD","NJ","8033","648017","182238","0","3658912","0","3658912","Education","f990","2021","Scholarships, Student Financial Aid, Awards","Candid","Camden (County, 2022)"
"22-2618681","Haddonfield Child Care","PO Box 107","HADDONFIELD","NJ","8033","17982","94269","0","210642","37","210642","Human Services - Multipurpose and Other","f990","2021","Child Day Care","Candid","Camden (County, 2022)"
"22-2623089","Food Bank of South Jersey Inc","1501 John Tipton Blvd","PENNSAUKEN","NJ","8110","35639314","33015491","4383577","19506805","90","15123228","Food, Agriculture, and Nutrition","f990","2021","Food Service, Free Food Distribution Programs","Candid","Camden (County, 2022)"
"22-2676688","Visiting Nurse Service System Inc","PO Box 250","RUNNEMEDE","NJ","8078","0","0","494079796","495679676","0","1599880","Health","f990","2021","Home Health Care (includes Visiting Nurse Associations)","Candid","Camden (County, 2022)"
"22-2705437","Camden County Bar Foundation Inc","1702 Berlin Rd","CHERRY HILL","NJ","8003","114093","40653","9025","564017","0","554992","Philanthropy, Voluntarism, and Grantmaking Foundations","f990","2022","Private Operating Foundations","Candid","Camden (County, 2022)"
"22-2718636","The Work Group","3720 Marlton Pike","PENNSAUKEN","NJ","8110","1360037","1297764","158094","774528","21","616434","Employment, Job Related","f990","2022","Employment, Job Related N.E.C.","Candid","Camden (County, 2022)"
"22-2756708","Saint Josephs Carpenter Society","20 Church St","CAMDEN","NJ","8105","3204950","2954135","6136491","10315284","18","4178793","Housing, Shelter","f990","2021","Housing Development, Construction, Management","Candid","Camden (County, 2022)"
"22-2762189","Metropolitan Camden Habitat for Humanity Inc","7937 S Crescent Blvd","PENNSAUKEN","NJ","8109","3056249","3094183","524771","1174752","27","649981","Housing, Shelter","f990","2022","Housing Development, Construction, Management","Candid","Camden (County, 2022)"
"22-2767832","The Jain Sangh Inc","3401 Cooper Ave","PENNSAUKEN","NJ","8109","122542","131506","0","2370761","0","2370761","Religion Related, Spiritual Development","f990","2021","Religious Printing, Publishing","Candid","Camden (County, 2022)"
"22-2807816","Cooperative Business Assistance Corporation","328 Market St","CAMDEN","NJ","8102","5424289","2197555","13880345","25530921","11","11650576","Community Improvement, Capacity Building","f990","2022","Management Services for Small Business/Entrepreneurs","Candid","Camden (County, 2022)"
"22-2825512","Hispanic Counseling and Family Services of New Jersey Inc","3908 Westfield Ave","PENNSAUKEN","NJ","8110","1103652","1086271","348720","425917","18","77197","Human Services - Multipurpose and Other","f990","2020","Family Services","Candid","Camden (County, 2022)"
"22-2825963","Childrens Choice of Delaware Inc","211 Benigno Blvd","BELLMAWR","NJ","8031","2826357","2901130","108955","1517401","41","1408446","Human Services - Multipurpose and Other","f990","2021","Residential, Custodial Care (Group Home)","Candid","Camden (County, 2022)"
